mbrt_images,mbrt_side,mbrt_view,mbrt_angle,mbrt_limb,mbrt_correct_both,mbrt_correct_one
mbrt_images/right_arm_front.png,right,front,0,arm,l,h
mbrt_images/right_arm_front.png,right,front,45,arm,l,h
mbrt_images/right_arm_front.png,right,front,90,arm,l,h
mbrt_images/right_arm_front.png,right,front,135,arm,l,h
mbrt_images/right_arm_front.png,right,front,180,arm,l,h
mbrt_images/right_arm_front.png,right,front,225,arm,l,h
mbrt_images/right_arm_front.png,right,front,270,arm,l,h
mbrt_images/right_arm_front.png,right,front,315,arm,l,h
mbrt_images/right_arm_back.png,right,back,0,arm,l,h
mbrt_images/right_arm_back.png,right,back,45,arm,l,h
mbrt_images/right_arm_back.png,right,back,90,arm,l,h
mbrt_images/right_arm_back.png,right,back,135,arm,l,h
mbrt_images/right_arm_back.png,right,back,180,arm,l,h
mbrt_images/right_arm_back.png,right,back,225,arm,l,h
mbrt_images/right_arm_back.png,right,back,270,arm,l,h
mbrt_images/right_arm_back.png,right,back,315,arm,l,h
mbrt_images/left_arm_front.png,left,front,0,arm,s,g
mbrt_images/left_arm_front.png,left,front,45,arm,s,g
mbrt_images/left_arm_front.png,left,front,90,arm,s,g
mbrt_images/left_arm_front.png,left,front,135,arm,s,g
mbrt_images/left_arm_front.png,left,front,180,arm,s,g
mbrt_images/left_arm_front.png,left,front,225,arm,s,g
mbrt_images/left_arm_front.png,left,front,270,arm,s,g
mbrt_images/left_arm_front.png,left,front,315,arm,s,g
mbrt_images/left_arm_back.png,left,back,0,arm,s,g
mbrt_images/left_arm_back.png,left,back,45,arm,s,g
mbrt_images/left_arm_back.png,left,back,90,arm,s,g
mbrt_images/left_arm_back.png,left,back,135,arm,s,g
mbrt_images/left_arm_back.png,left,back,180,arm,s,g
mbrt_images/left_arm_back.png,left,back,225,arm,s,g
mbrt_images/left_arm_back.png,left,back,270,arm,s,g
mbrt_images/left_arm_back.png,left,back,315,arm,s,g
